symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,position_size,pnl_try,portfolio_after
ASELS,BUY,2024-12-06T04:00:00+00:00,2024-12-09T08:00:00+00:00,71.2,69.7326,69.7326,73.6456,75.113,SL,-2.0609,-1.0,4,16,681.4774,-1000.0,99000.0
ASELS,BUY,2024-12-09T08:00:00+00:00,2024-12-11T08:00:00+00:00,70.75,69.3027,69.3027,73.1622,74.6096,SL,-2.0457,-1.0,6,24,684.0323,-990.0,98010.0
ASELS,SELL,2024-12-16T12:00:00+00:00,2024-12-18T08:00:00+00:00,67.95,69.2395,69.2395,65.8009,64.5114,SL,-1.8977,-1.0,5,20,760.062,-980.1,97029.9
AKBNK,SELL,2024-12-19T12:00:00+00:00,2024-12-25T04:00:00+00:00,61.5,63.0396,63.0396,58.934,57.3944,SL,-2.5034,-1.0,10,40,630.228,-970.3,96059.6
ASELS,BUY,2024-12-23T04:00:00+00:00,2024-12-31T04:00:00+00:00,72.45,73.6,70.6277,75.4872,77.3095,EXPIRED,1.5873,0.6311,18,72,527.1338,606.2,96665.8
AKBNK,BUY,2024-12-25T12:00:00+00:00,2025-01-03T12:00:00+00:00,63.9,66.6,62.1841,66.7598,68.4757,EXPIRED,4.2253,1.5735,18,72,563.3534,1521.05,98186.86
ASELS,BUY,2024-12-31T08:00:00+00:00,2025-01-07T12:00:00+00:00,73.4,77.7553,71.7668,76.1221,77.7553,TP2,5.9336,2.6667,13,52,601.1931,2618.38,100805.24
ASELS,BUY,2025-01-14T04:00:00+00:00,2025-01-15T08:00:00+00:00,79.7,77.9472,77.9472,82.6214,84.3742,SL,-2.1993,-1.0,4,16,575.1097,-1008.05,99797.18
AKBNK,BUY,2025-01-20T12:00:00+00:00,2025-01-24T12:00:00+00:00,66.65,66.65,64.8064,69.7226,71.5662,TP1_BE,0.0,0.0,12,48,541.3169,0.0,99797.18
ASELS,BUY,2025-01-17T04:00:00+00:00,2025-01-27T04:00:00+00:00,81.45,85.7,79.4407,84.7988,86.808,EXPIRED,5.2179,2.1152,18,72,496.6764,2110.87,101908.06
AKBNK,SELL,2025-01-30T12:00:00+00:00,2025-02-04T08:00:00+00:00,65.75,65.75,67.1919,63.3468,61.9049,TP1_BE,0.0,0.0,8,32,706.7623,0.0,101908.06
ASELS,BUY,2025-01-30T08:00:00+00:00,2025-02-05T08:00:00+00:00,88.85,86.5228,86.5228,92.7287,95.056,SL,-2.6193,-1.0,12,48,437.8999,-1019.08,100888.98
AKBNK,SELL,2025-02-07T04:00:00+00:00,2025-02-13T08:00:00+00:00,62.45,64.39,64.39,59.2167,57.2766,SL,-3.1065,-1.0,13,52,520.0463,-1008.89,99880.09
ASELS,SELL,2025-02-14T08:00:00+00:00,2025-02-18T04:00:00+00:00,78.5,80.7022,80.7022,74.8297,72.6275,SL,-2.8054,-1.0,5,20,453.5468,-998.8,98881.29
AKBNK,BUY,2025-02-14T08:00:00+00:00,2025-02-24T08:00:00+00:00,64.95,65.1,63.4393,67.4679,68.9787,EXPIRED,0.2309,0.0993,18,72,654.5395,98.18,98979.47
ASELS,BUY,2025-02-27T04:00:00+00:00,2025-02-28T08:00:00+00:00,87.6,94.2343,85.1121,91.7464,94.2343,TP2,7.5734,2.6667,4,16,397.8434,2639.41,101618.88
AKBNK,BUY,2025-02-25T12:00:00+00:00,2025-03-03T08:00:00+00:00,66.3,70.2718,64.8106,68.7824,70.2718,TP2,5.9907,2.6667,11,44,682.2806,2709.88,104328.76
AKBNK,BUY,2025-03-04T12:00:00+00:00,2025-03-12T12:00:00+00:00,72.3,74.1,70.2782,75.6697,77.6915,EXPIRED,2.4896,0.8903,18,72,516.0192,928.83,105257.6
AKBNK,BUY,2025-03-14T04:00:00+00:00,2025-03-18T12:00:00+00:00,75.5,73.621,73.621,78.6317,80.5107,SL,-2.4887,-1.0,8,32,560.1788,-1052.58,104205.02
ASELS,BUY,2025-03-13T12:00:00+00:00,2025-03-19T08:00:00+00:00,116.3,116.3,112.0095,123.4509,127.7414,TP1_BE,0.0,0.0,11,44,242.8738,0.0,104205.02
AKBNK,SELL,2025-03-25T12:00:00+00:00,2025-04-04T12:00:00+00:00,56.75,52.05,60.0418,51.2637,47.9718,EXPIRED,8.2819,1.4278,18,72,316.5594,1487.83,105692.85
ASELS,BUY,2025-04-02T08:00:00+00:00,2025-04-07T04:00:00+00:00,119.4,114.4548,114.4548,127.6421,132.5873,SL,-4.1417,-1.0,8,32,213.7282,-1056.93,104635.92
AKBNK,SELL,2025-04-04T12:00:00+00:00,2025-04-14T12:00:00+00:00,52.05,50.3,54.1214,48.5977,46.5263,EXPIRED,3.3622,0.8448,18,72,505.1459,884.01,105519.93
ASELS,BUY,2025-04-10T04:00:00+00:00,2025-04-15T04:00:00+00:00,122.7,118.1876,118.1876,130.2206,134.733,SL,-3.6776,-1.0,9,36,233.8444,-1055.2,104464.73
AKBNK,SELL,2025-04-18T12:00:00+00:00,2025-04-21T12:00:00+00:00,49.58,51.1904,51.1904,46.8961,45.2857,SL,-3.248,-1.0,3,12,648.6881,-1044.65,103420.08
ASELS,BUY,2025-04-18T08:00:00+00:00,2025-04-29T08:00:00+00:00,129.0,138.1,124.2331,136.9448,141.7116,EXPIRED,7.0543,1.909,18,72,216.9546,1974.29,105394.37
