symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,tp2_mult
ASELS,BUY,2024-12-06T04:00:00+00:00,2024-12-09T08:00:00+00:00,71.2,69.7326,69.7326,73.6456,75.113,SL,-2.0609,-1.0,4,16,4.0
ASELS,BUY,2024-12-09T08:00:00+00:00,2024-12-11T08:00:00+00:00,70.75,69.3027,69.3027,73.1622,74.6096,SL,-2.0457,-1.0,6,24,4.0
ASELS,SELL,2024-12-16T12:00:00+00:00,2024-12-18T08:00:00+00:00,67.95,69.2395,69.2395,65.8009,64.5114,SL,-1.8977,-1.0,5,20,4.0
ASELS,BUY,2024-12-23T04:00:00+00:00,2024-12-31T04:00:00+00:00,72.45,73.6,70.6277,75.4872,77.3095,EXPIRED,1.5873,0.6311,18,72,4.0
ASELS,BUY,2024-12-31T08:00:00+00:00,2025-01-07T12:00:00+00:00,73.4,77.7553,71.7668,76.1221,77.7553,TP2,5.9336,2.6667,13,52,4.0
ASELS,BUY,2025-01-14T04:00:00+00:00,2025-01-15T08:00:00+00:00,79.7,77.9472,77.9472,82.6214,84.3742,SL,-2.1993,-1.0,4,16,4.0
ASELS,BUY,2025-01-17T04:00:00+00:00,2025-01-27T04:00:00+00:00,81.45,85.7,79.4407,84.7988,86.808,EXPIRED,5.2179,2.1152,18,72,4.0
ASELS,BUY,2025-01-30T08:00:00+00:00,2025-02-05T08:00:00+00:00,88.85,86.5228,86.5228,92.7287,95.056,SL,-2.6193,-1.0,12,48,4.0
ASELS,SELL,2025-02-14T08:00:00+00:00,2025-02-18T04:00:00+00:00,78.5,80.7022,80.7022,74.8297,72.6275,SL,-2.8054,-1.0,5,20,4.0
ASELS,BUY,2025-02-27T04:00:00+00:00,2025-02-28T08:00:00+00:00,87.6,94.2343,85.1121,91.7464,94.2343,TP2,7.5734,2.6667,4,16,4.0
ASELS,BUY,2025-03-13T12:00:00+00:00,2025-03-19T08:00:00+00:00,116.3,116.3,112.0095,123.4509,127.7414,TP1_BE,0.0,0.0,11,44,4.0
ASELS,BUY,2025-04-02T08:00:00+00:00,2025-04-07T04:00:00+00:00,119.4,114.4548,114.4548,127.6421,132.5873,SL,-4.1417,-1.0,8,32,4.0
ASELS,BUY,2025-04-10T04:00:00+00:00,2025-04-15T04:00:00+00:00,122.7,118.1876,118.1876,130.2206,134.733,SL,-3.6776,-1.0,9,36,4.0
ASELS,BUY,2025-04-18T08:00:00+00:00,2025-04-29T08:00:00+00:00,129.0,138.1,124.2331,136.9448,141.7116,EXPIRED,7.0543,1.909,18,72,4.0
ASELS,SELL,2025-05-20T04:00:00+00:00,2025-05-23T12:00:00+00:00,132.3,138.3011,138.3011,122.2982,116.2971,SL,-4.536,-1.0,11,44,4.0
ASELS,SELL,2025-06-03T12:00:00+00:00,2025-06-04T08:00:00+00:00,127.7,131.464,131.464,121.4266,117.6626,SL,-2.9475,-1.0,2,8,4.0
ASELS,BUY,2025-06-11T08:00:00+00:00,2025-06-13T08:00:00+00:00,141.9,141.9,137.7446,148.8256,152.981,TP1_BE,0.0,0.0,6,24,4.0
ASELS,BUY,2025-06-16T08:00:00+00:00,2025-06-24T08:00:00+00:00,142.5,141.4,137.6681,150.5532,155.3852,EXPIRED,-0.7719,-0.2277,18,72,4.0
ASELS,BUY,2025-06-30T12:00:00+00:00,2025-07-08T12:00:00+00:00,150.2,152.6,145.4653,158.0911,162.8257,EXPIRED,1.5979,0.5069,18,72,4.0
ASELS,BUY,2025-07-09T12:00:00+00:00,2025-07-16T08:00:00+00:00,149.9,159.2135,146.4074,155.7209,159.2135,TP2,6.2131,2.6667,11,44,4.0
ASELS,BUY,2025-08-04T12:00:00+00:00,2025-08-06T04:00:00+00:00,188.3,183.6985,183.6985,195.9691,200.5706,SL,-2.4437,-1.0,4,16,4.0
ASELS,BUY,2025-08-20T12:00:00+00:00,2025-08-28T12:00:00+00:00,182.0,183.7,177.6092,189.3181,193.7089,EXPIRED,0.9341,0.3872,18,72,4.0
ASELS,BUY,2025-09-15T04:00:00+00:00,2025-09-16T08:00:00+00:00,179.2,193.1161,173.9815,187.8975,193.1161,TP2,7.7657,2.6667,4,16,4.0
ASELS,BUY,2025-09-29T08:00:00+00:00,2025-10-01T04:00:00+00:00,219.2,212.0569,212.0569,231.1052,238.2483,SL,-3.2587,-1.0,5,20,4.0
ASELS,BUY,2025-10-01T08:00:00+00:00,2025-10-07T12:00:00+00:00,215.7,207.7573,207.7573,228.9378,236.8806,SL,-3.6823,-1.0,13,52,4.0
ASELS,BUY,2025-12-01T04:00:00+00:00,2025-12-09T04:00:00+00:00,186.5,193.9,182.2635,193.5608,197.7973,EXPIRED,3.9678,1.7467,18,72,4.0
ASELS,BUY,2025-12-09T04:00:00+00:00,2025-12-10T04:00:00+00:00,193.9,204.6956,189.8516,200.6473,204.6956,TP2,5.5676,2.6667,3,12,4.0
ASELS,BUY,2025-12-22T08:00:00+00:00,2025-12-24T08:00:00+00:00,213.0,227.5993,207.5253,222.1246,227.5993,TP2,6.8541,2.6667,6,24,4.0
ASELS,BUY,2025-12-31T04:00:00+00:00,2026-01-06T12:00:00+00:00,232.7,250.5105,226.021,243.8316,250.5105,TP2,7.6539,2.6667,11,44,4.0
